"KATEGORI","NAMA FITUR / LAPISAN","TEKNOLOGI / FUNGSI OPERASIONAL","MANFAAT & ALASAN BISNIS"
"DASHBOARD & TABEL","Kartu Metrik Aging FIFO (Real-Time)","Menghitung total paket aktif, kritis (>36j), waspada (48-60j), peringatan (48-72j), dan overdue (>72j)","Memberikan gambaran helikopter kesehatan operasional gudang secara instan bagi manajemen."
"DASHBOARD & TABEL","Quick Filter Tab (Prioritas Kritis)","1-klik filter untuk memunculkan paket yang paling mendesak untuk diberangkatkan","Mencegah penalti SLA pengiriman dengan memprioritaskan barang terlama."
"DASHBOARD & TABEL","Pencarian Cepat Multi-Kolom","Mencari waybill, tanggal masuk, outlet tujuan, TLC, atau nama barang sekaligus","Operator menemukan data resi dalam hitungan milidetik tanpa reload halaman."
"DASHBOARD & TABEL","TLC / GW Filter Combobox","Dropdown pencarian pintar dengan autocomplete untuk filter kode gateway transit","Mempermudah pengaturan rute muat barang (loading truk) berdasarkan tujuan."
"DASHBOARD & TABEL","Multi-Checkbox & Bulk Action Bar","Memilih puluhan hingga ratusan resi sekaligus untuk update aksi atau arsip","Menghilangkan pekerjaan repetitif satu per satu dan menghemat waktu kerja berjam-jam."
"SCANNER PDA","Dual Operational Mode (Mode 1 vs Mode 2)","Mode 1: Cek Status FIFO; Mode 2: Sekali tembak laser langsung update aksi otomatis","Fleksibilitas kerja untuk audit stok maupun proses sortir/muat cepat."
"SCANNER PDA","Quick Action Chips (Touch Jempol)","Tombol kapsul sentuh: Scan Kirim, Penangguhan, Miss Route, Crosslabel, Ketik Manual","Operator mengganti target aksi 1x sentuh jempol tanpa repot buka dropdown sempit di PDA."
"SCANNER PDA","Tombol Koreksi Instan di Kartu","Baris tombol revisi aksi di bawah kartu hasil scan jika salah tembak aksi","Mengoreksi kesalahan dalam 1 detik tanpa perlu scan ulang atau mencari manual di tabel."
"SCANNER PDA","Hardware Wedge & Auto-Burst (160ms)","Mendukung laser PDA fisik; jika tidak ada Enter, timer 160ms otomatis mengeksekusi resi","Kompatibel dengan semua merk PDA (Zebra, Honeywell, Chainway, Urovo) tanpa settingan rumit."
"SCANNER PDA","Global Window Wedge Buffer","Menangkap tembakan laser meskipun kursor kursor tidak sengaja lepas dari kotak input","Mencegah tembakan laser macet karena layar tersentuh tidak sengaja."
"SCANNER PDA","Web Audio Synthesizer (Zero-Delay)","Suara beeping murni via Web Audio API: Chime Sukses, Nada Peringatan, Buzzer Merah","Zero-delay, tidak memakan kuota, dan tetap berbunyi kencang di area gudang bising."
"SCANNER PDA","Haptic Vibration Feedback","Getaran fisik pada PDA (pendek untuk sukses, ganda untuk peringatan/error)","Konfirmasi fisik langsung di tangan operator tanpa harus selalu melihat layar."
"SCANNER PDA","Penanganan Resi Nyasar (Quick Add)","Alarm buzzer merah + tombol Daftarkan Paket Ini membuka form pop-up instan 5 detik","Mencegah paket misterius tertinggal di gudang tanpa data manifest."
"SCANNER PDA","Drawer Riwayat Resi Nyasar","Menampung daftar resi tidak terdaftar beserta waktu scan dan tombol Salin Semua","Mempermudah rekonsiliasi paket nyasar ke tim investigasi atau admin kantor."
"SCANNER PDA","Kamera Scanner Fallback","Scan barcode menggunakan kamera perangkat (BarcodeDetector API)","Alternatif jika perangkat PDA fisik sedang di-charge atau terbatas."
"DATA & MANAJEMEN","Import Massal Excel / CSV","Upload ribuan data resi baru dari file Excel/CSV manifest pusat","Memasukkan data harian baru dalam waktu beberapa detik saja."
"DATA & MANAJEMEN","Export Data ke Excel / CSV","Download data monitoring aktif, riwayat, atau hasil filter ke file spreadsheet","Mempermudah pembuatan laporan berkala untuk dikirimkan ke pimpinan atau klien."
"DATA & MANAJEMEN","Sistem Arsip Mandiri (Archive & Restore)","Memindahkan data paket yang sudah selesai ke tabel arsip terpisah","Menjaga database tetap enteng dan kencang tanpa menghapus rekaman riwayat lama."
"DATA & MANAJEMEN","Restore Status Update","Membatalkan status update resi untuk mengembalikan paket ke status Pending","Menangani kasus pembatalan kirim secara aman tanpa merusak integritas data."
"KEAMANAN SISTEM","Autentikasi Pengguna (JWT)","JSON Web Token (JWT) dengan tanda tangan kriptografis dan masa kedaluwarsa","Stateless, aman dari pemalsuan sesi, dan mencegah session hijacking."
"KEAMANAN SISTEM","Enkripsi Kata Sandi (Bcrypt)","Bcrypt Hash + Salt Rounds berstandar perbankan","Password tidak pernah disimpan dalam bentuk teks biasa; kebal dari pencurian data & brute force."
"KEAMANAN SISTEM","Proteksi Database (Anti-SQL Injection)","Parameterized Queries / Prepared Statements (?) pada driver MySQL","Menjamin 100% kebal dari serangan injeksi query SQL jahat lewat form input."
"KEAMANAN SISTEM","Proteksi Header HTTP (Helmet.js)","Middleware 11+ pelindung header HTTP (X-Frame-Options, X-Content-Type-Options)","Mencegah serangan Clickjacking, MIME-sniffing, dan menyembunyikan identitas server."
"KEAMANAN SISTEM","Proteksi Skrip Jahat (Strict CSP)","Content Security Policy ketat tanpa satupun inline onclick","Menolak segala bentuk injeksi skrip asing dari luar (Cross-Site Scripting / XSS)."
"KEAMANAN SISTEM","Proteksi Serangan DDoS & Brute Force","Express Rate Limiting pada endpoint login dan API","Mencegah bot menebak password ribuan kali per menit dan menjaga server tidak down."
"KEAMANAN SISTEM","Manajemen Hak Akses (RBAC)","Role-Based Access Control bertingkat: Super Admin, Admin, Supervisor, Operator","Menerapkan prinsip Least Privilege agar operator lapangan tidak bisa menghapus data penting."
"KEAMANAN SISTEM","Audit Trail Logging System","Pencatatan riwayat setiap aksi: siapa, kapan, aksi apa, data lama vs baru, IP Address","Memberikan transparansi 100% dan bukti audit jika terjadi selisih operasional."
"KEAMANAN SISTEM","Inactivity Auto-Logout","Sesi otomatis terkunci jika perangkat ditinggal tanpa aktivitas pengguna","Mengamankan akun saat laptop atau PDA ditinggal operator di atas meja gudang."
